Unnamed: 0,주차,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),일교차(°C),거래량,가격/단량
0,2018-00,-0.8731914893617022,1.7191666666666667,4.718947368421053,53.422413213885775,6.707894736842105,8.647281634938409,179.40687526615386,1283.4184359112992
1,2018-01,-4.207576707726764,1.9944285624485327,5.664421052631579,65.76157446808512,5.12778947368421,8.104631578947368,136.52929018917797,1450.2184618173476
2,2018-02,3.214572601717059,3.2128225291409542,4.267368421052631,72.46662374020157,4.618330503678551,9.272982456140353,176.68136818550212,1631.556475094411
3,2018-03,-6.517894736842106,0.703978878077045,6.095438596491228,48.89087719298246,7.092392683837253,9.55982456140351,138.0326152108577,1950.2496776069088
4,2018-04,-3.331754385964912,0.3171393442622951,5.299473684210526,52.04701754385965,7.111909294512878,10.23157894736842,162.68201848468598,2045.529870589668
5,2018-05,-3.6690556177678233,1.8946728679524376,5.415263157894738,50.65910974244122,7.173684210526315,11.908771929824562,170.46044923955364,1799.4140912952314
6,2018-06,0.6582110862262038,0.2254242424242424,6.241842105263157,54.70103303471445,7.214496080627099,11.19763157894737,125.50691063503623,1820.6603641456584
7,2018-07,2.954736842105263,2.125,3.9557894736842103,47.88105263157895,4.801052631578948,11.397894736842105,171.45378151260505,1827.9315102763387
8,2018-08,3.9028070175438594,0.7262626262626263,6.16280701754386,55.65719298245614,8.818947368421052,13.08561403508772,163.4912890230136,1565.1023198112016
9,2018-09,4.440041060097052,7.0259133430958745,5.185263157894737,75.50543673012318,4.407894736842105,8.911228070175438,174.0984525631765,1896.7713340867783
10,2018-10,9.704736842105264,6.555614035087719,5.324736842105263,70.68543859649122,6.803626353116834,12.967368421052631,170.13950672360951,1903.8663858320317
11,2018-11,5.901754385964913,6.286512759170654,5.571052631578947,69.44701754385964,5.295964912280701,9.251754385964912,176.18856709687736,2172.681178424127
12,2018-12,12.880263157894737,0.0,4.891052631578948,60.39473684210526,9.623149496080629,14.64342105263158,156.46927933837526,1594.9210230438978
13,2018-13,11.327331093691676,7.437048630552444,6.12719298245614,72.84067935796939,5.096666666666667,8.686315789473683,152.9058225550994,2911.7209108670577
14,2018-14,12.68284807764091,6.006651856297556,6.266140350877193,57.4318122433744,6.824385964912281,12.297017543859653,235.58025538930883,2781.671090756778
15,2018-15,14.410175438596491,0.0388888888888888,4.642456140350877,55.89134565136245,10.98298245614035,16.14842105263158,251.52232819998065,1543.6840728696725
16,2018-16,13.430539380365808,15.345157762993216,4.84859649122807,69.40614594998134,7.098070175438597,11.50280701754386,259.30876400295,1490.3940413397977
17,2018-17,15.86877192982456,4.184719028340081,6.171578947368421,66.16306270996641,7.006666666666667,11.492982456140352,246.1963208310335,1088.8378082038323
18,2018-18,15.377384098544232,7.209664023071378,4.67221052631579,75.07384994400896,4.733052631578948,8.674315789473685,321.44911821875013,792.2591125576042
19,2018-19,19.380526315789474,10.001240956443826,5.339893617021277,84.43175188743994,2.7239473684210527,7.352894736842105,250.82907161796356,1757.2668484423814
20,2018-20,18.181052631578947,5.333987681970885,4.711440836132886,65.48526315789474,9.508771929824562,13.56122807017544,301.65849859221163,1232.0659811676237
21,2018-21,20.91298245614035,2.237799756052656,4.29,70.3601754385965,9.109298245614037,11.942807017543862,269.7981866334215,971.34513393234
22,2018-22,21.81824561403509,1.111898483628556,4.26140350877193,71.81105263157895,8.09842105263158,10.732280701754386,288.2336351081024,1329.569707475248
23,2018-23,19.509871220604705,3.340692905288388,4.534561403508772,73.75569428891377,6.278620754012692,8.285263157894738,281.24725506740344,1269.344379737441
24,2018-24,22.688771929824565,1.5879761904761902,4.248245614035088,68.03729936543486,8.051265919316707,11.017719298245614,292.2488361452839,1042.6365574112604
25,2018-25,23.638637230229545,22.158354501408564,4.946491228070175,83.54138014906863,3.308073908174692,7.609122807017544,308.2491287123647,2485.4129959503675
26,2018-26,23.251483782666455,15.587403948661096,4.800750279955207,84.02460154045603,3.702591482137052,6.208945502053005,252.2972885275875,4077.7891736076895
27,2018-27,25.399204927211645,5.019844643660433,3.8643859649122807,83.26203060843598,6.237407614781636,7.601578947368421,267.0377969483264,2309.2798408927065
28,2018-28,27.839879059350505,,3.654526315789474,74.13927659574469,11.51405823068309,10.860631578947368,256.13253243687905,3529.9412520064207
29,2018-29,29.266212765957448,2.1598745098039216,3.90778947368421,75.198960806271,9.746947368421052,9.757263157894736,236.29963773917544,5803.019565956073
30,2018-30,29.35831578947368,0.8274358974358975,4.271294512877939,69.31726315789474,10.844421052631578,10.890105263157896,252.05326032799292,5545.858056571421
31,2018-31,28.104035087719296,7.719282062092709,4.216140350877193,78.82771929824561,6.633684210526316,8.442982456140351,249.59190685753944,4064.488167363622
32,2018-32,26.77894736842105,6.83382010146716,5.007157894736842,69.16421052631578,8.883789473684212,10.152421052631578,263.6657784357675,5137.028198290392
33,2018-33,26.284189996267266,12.435693521173148,5.647625979843226,76.78671705860395,4.956521089958939,8.379122807017543,231.8195143969848,3502.8325433287064
34,2018-34,24.594912461318017,30.546822255305354,4.523333333333333,86.93919153804956,4.126951257691243,6.529298245614036,322.46251243503804,4829.604997373951
35,2018-35,22.221427771556552,11.700205956450455,4.769148936170213,77.3229116344969,5.174157224449822,8.570877192982456,325.8132277615623,3414.7589893133986
36,2018-36,20.83628966032101,7.683782512032504,3.970444195595372,79.63225270623367,4.3007017543859645,7.88280701754386,346.58057958798463,1954.0605945130403
