Unnamed: 0,주차,평균기온(°C),일강수량(mm),최대 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),일교차(°C),거래량,가격/단량
54,2019-06,0.4350877192982456,0.8077338556505224,5.192631578947368,51.94771929824561,6.847286300858529,8.938421052631579,40.28566689926971,2352.2819361227903
55,2019-07,3.3219298245614035,3.871338353746001,4.234912280701754,68.19354461422374,5.280391937290034,10.470877192982456,39.05422980381807,2761.6327280212045
56,2019-08,6.287894736842105,0.3283991228070175,4.336842105263158,61.263580627099664,6.980789473684211,11.541531354983205,36.64481111889124,3639.648106658726
57,2019-09,7.570526315789473,1.3924453781512605,4.582982456140351,61.26649122807018,7.0359649122807015,12.602982456140351,35.44817197111491,3460.0966302347206
58,2019-10,5.377820082120194,1.1643249670189324,6.531929824561403,60.88049292184935,7.080877192982456,11.298947368421054,29.489946932015005,3711.728126730177
59,2019-11,8.04791360120732,4.480712974296206,6.126491228070176,61.45220592531282,6.301929824561403,12.255087719298244,29.97963031830801,4419.676232773602
60,2019-12,9.747719298245617,1.4582103645147124,5.946666666666666,60.56839305711086,7.438421052631579,12.210175438596492,27.362587916277786,4918.792287157994
61,2019-13,8.67701754385965,2.0087116883116884,5.899649122807017,45.02198394923479,10.046963419186264,14.255087719298244,23.65618707646551,4832.931839402428
62,2019-14,9.759298245614035,4.242974828375286,5.519298245614035,63.77087719298245,7.0792982456140345,10.910877192982456,23.67624649859944,4734.329734592892
63,2019-15,13.665684957073536,0.7507749766573297,4.98083240014931,57.21030235162374,8.453273609555804,14.302556924225458,22.00463150397361,4125.286964779719
64,2019-16,14.188070175438597,4.025080204388365,4.488771929824561,77.67736842105263,4.190526315789474,9.345087719298244,25.982364053016227,5566.539810947121
65,2019-17,15.124035087719298,6.01317229518449,4.455438596491228,66.02499999999999,8.413096304591265,13.356842105263157,22.872071382159103,7140.202531760327
66,2019-18,15.824559537140724,0.1783823529411764,4.9389473684210525,47.08649869354237,10.986737588652485,15.283508771929824,19.14391507627605,6553.794867250427
67,2019-19,19.67763157894737,5.589392962559002,4.522982456140351,66.86954460619634,7.319473684210526,11.85719298245614,19.230010490794346,6565.197993033929
68,2019-20,19.74599104143337,1.9258426966292133,5.417704367301233,55.58910414333707,10.75684210526316,14.593508771929825,18.31329478812869,6638.216134928581
69,2019-21,18.738682344158267,6.156654650324441,5.427256944444444,62.36175438596492,8.002540204678363,11.840138888888887,19.48405371143553,6472.393982673976
70,2019-22,21.016666666666666,8.141039839181287,4.698090277777777,72.93368055555555,7.655902777777778,11.208333333333334,21.099721681847203,6366.083822140833
71,2019-23,19.447114400584795,4.494826507946778,4.164945175438596,74.75318557919621,6.877911184210525,9.722569444444444,20.862925943568676,6786.132489313091
